"Site","Type_of_data","Device_Type","Page_Type","Period","max_count_pageview","time_of_max_count","X","X.1","X.2"
"Netshoes","Pageviews","all","All","day",3610142," 2017-06-05 00:00:00 ",,"Max pageview count for a given site, page_type, device_type",""
"Netshoes","Pageviews","all","All","hour",256014," 2017-06-07 00:00:00 ",,"Starting Time"," 2017-04-01 00:00:00 "
"Netshoes","Pageviews","all","All","minute",4914," 2017-05-31 00:00:00 ",,"Ending Time","today"
"Netshoes","Pageviews","all","PDP","day",2489388," 2017-06-05 00:00:00 ",,"",""
"Netshoes","Pageviews","all","PDP","hour",182990," 2017-05-31 00:00:00 ",,"",""
"Netshoes","Pageviews","all","PDP","minute",3721," 2017-05-31 00:00:00 ",,"",""
"Netshoes","Pageviews","all","Home","day",891844," 2017-06-05 00:00:00 ",,"",""
"Netshoes","Pageviews","all","Home","hour",65102," 2017-07-04 23:00:00 ",,"",""
"Netshoes","Pageviews","all","Home","minute",2350," 2017-05-27 06:09:00 ",,"",""
"Netshoes","Pageviews","all","Cart","day",219467," 2017-05-31 00:00:00 ",,"",""
"Netshoes","Pageviews","all","Cart","hour",16450," 2017-05-31 13:00:00 ",,"",""
"Netshoes","Pageviews","all","Cart","minute",334," 2017-06-06 14:26:00 ",,"",""
"Netshoes","Pageviews","mobile","All","day",1576691," 2017-06-04 00:00:00 ",,"",""
"Netshoes","Pageviews","mobile","All","hour",138837," 2017-07-05 00:00:00 ",,"",""
"Netshoes","Pageviews","mobile","All","minute",2615," 2017-07-18 00:49:00 ",,"",""
"Netshoes","Pageviews","mobile","PDP","day",1168812," 2017-06-04 00:00:00 ",,"",""
"Netshoes","Pageviews","mobile","PDP","hour",100822," 2017-07-18 00:00:00 ",,"",""
"Netshoes","Pageviews","mobile","PDP","minute",1892," 2017-06-21 00:48:00 ",,"",""
"Netshoes","Pageviews","mobile","Home","day",436163," 2017-06-05 00:00:00 ",,"",""
"Netshoes","Pageviews","mobile","Home","hour",39292," 2017-07-04 23:00:00 ",,"",""
"Netshoes","Pageviews","mobile","Home","minute",825," 2017-06-22 12:03:00 ",,"",""
"Netshoes","Pageviews","mobile","Cart","day",1048," 2017-05-11 00:00:00 ",,"",""
"Netshoes","Pageviews","mobile","Cart","hour",254," 2017-05-11 20:00:00 ",,"",""
"Netshoes","Pageviews","mobile","Cart","minute",11," 2017-05-11 21:19:00 ",,"",""
"Netshoes","Pageviews","non-mobile","All","day",2096718," 2017-06-06 00:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","All","hour",152591," 2017-06-06 14:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","All","minute",2767," 2017-06-06 14:13:00 ",,"",""
"Netshoes","Pageviews","non-mobile","PDP","day",1383958," 2017-06-06 00:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","PDP","hour",100280," 2017-06-05 14:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","PDP","minute",2090," 2017-05-24 00:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","Home","day",474911," 2017-06-06 00:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","Home","hour",35841," 2017-06-06 14:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","Home","minute",2333," 2017-05-27 06:09:00 ",,"",""
"Netshoes","Pageviews","non-mobile","Cart","day",218959," 2017-05-31 00:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","Cart","hour",16430," 2017-05-31 13:00:00 ",,"",""
"Netshoes","Pageviews","non-mobile","Cart","minute",333," 2017-06-06 14:26:00 ",,"",""
"Zattini","Pageviews","all","All","day",1495363," 2017-07-04 00:00:00 ",,"",""
"Zattini","Pageviews","all","All","hour",120343," 2017-05-05 23:00:00 ",,"",""
"Zattini","Pageviews","all","All","minute",6011," 2017-05-05 23:01:00 ",,"",""
"Zattini","Pageviews","all","PDP","day",1138972," 2017-07-04 00:00:00 ",,"",""
"Zattini","Pageviews","all","PDP","hour",85327," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","all","PDP","minute",3068," 2017-05-05 23:03:00 ",,"",""
"Zattini","Pageviews","all","Home","day",285064," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","all","Home","hour",34943," 2017-05-05 23:00:00 ",,"",""
"Zattini","Pageviews","all","Home","minute",4338," 2017-05-30 22:46:00 ",,"",""
"Zattini","Pageviews","all","Cart","day",87414," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","all","Cart","hour",8206," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","all","Cart","minute",174," 2017-05-04 13:35:00 ",,"",""
"Zattini","Pageviews","mobile","All","day",600564," 2017-07-02 00:00:00 ",,"",""
"Zattini","Pageviews","mobile","All","hour",77889," 2017-05-05 23:00:00 ",,"",""
"Zattini","Pageviews","mobile","All","minute",4922," 2017-05-05 23:01:00 ",,"",""
"Zattini","Pageviews","mobile","PDP","day",477666," 2017-07-02 00:00:00 ",,"",""
"Zattini","Pageviews","mobile","PDP","hour",49655," 2017-05-05 23:00:00 ",,"",""
"Zattini","Pageviews","mobile","PDP","minute",2321," 2017-05-05 23:03:00 ",,"",""
"Zattini","Pageviews","mobile","Home","day",131689," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","mobile","Home","hour",26282," 2017-05-05 23:00:00 ",,"",""
"Zattini","Pageviews","mobile","Home","minute",3765," 2017-05-30 22:46:00 ",,"",""
"Zattini","Pageviews","mobile","Cart","day",635," 2017-05-11 00:00:00 ",,"",""
"Zattini","Pageviews","mobile","Cart","hour",225," 2017-05-11 20:00:00 ",,"",""
"Zattini","Pageviews","mobile","Cart","minute",16," 2017-05-11 20:37:00 ",,"",""
"Zattini","Pageviews","non-mobile","All","day",925471," 2017-07-04 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","All","hour",89684," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","All","minute",1708," 2017-07-04 13:37:00 ",,"",""
"Zattini","Pageviews","non-mobile","PDP","day",685703," 2017-07-04 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","PDP","hour",67277," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","PDP","minute",1207," 2017-07-19 13:36:00 ",,"",""
"Zattini","Pageviews","non-mobile","Home","day",153375," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Home","hour",15941," 2017-06-27 18:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Home","minute",573," 2017-05-30 22:46:00 ",,"",""
"Zattini","Pageviews","non-mobile","Cart","day",87133," 2017-07-12 00:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Cart","hour",8195," 2017-07-19 13:00:00 ",,"",""
"Zattini","Pageviews","non-mobile","Cart","minute",174," 2017-05-04 13:35:00 ",,"",""
